Code,Name
005930,삼성전자
000660,SK하이닉스
373220,LG에너지솔루션
207940,삼성바이오로직스
005935,삼성전자우
005380,현대차
105560,KB금융
034020,두산에너빌리티
329180,HD현대중공업
000270,기아
068270,셀트리온
012450,한화에어로스페이스
402340,SK스퀘어
055550,신한지주
028260,삼성물산
035420,NAVER
042660,한화오션
015760,한국전력
032830,삼성생명
009540,HD한국조선해양
012330,현대모비스
267260,HD현대일렉트릭
010130,고려아연
035720,카카오
086790,하나금융지주
051910,LG화학
005490,POSCO홀딩스
006400,삼성SDI
000810,삼성화재
010140,삼성중공업
316140,우리금융지주
096770,SK이노베이션
138040,메리츠금융지주
011200,HMM
009150,삼성전기
064350,현대로템
003670,포스코퓨처엠
034730,SK
033780,KT&G
298040,효성중공업
024110,기업은행
267250,HD현대
066570,LG전자
000150,두산
010120,LS ELECTRIC
018260,삼성에스디에스
030200,KT
006800,미래에셋증권
352820,하이브
003550,LG
086280,현대글로비스
259960,크래프톤
042700,한미반도체
017670,SK텔레콤
326030,SK바이오팜
047810,한국항공우주
323410,카카오뱅크
003230,삼양식품
007660,이수페타시스
0126Z0,삼성에피스홀딩스
000100,유한양행
278470,에이피알
047050,포스코인터내셔널
005830,DB손해보험
010620,HD현대미포
071050,한국금융지주
010950,S-Oil
272210,한화시스템
443060,HD현대마린솔루션
079550,LIG넥스원
003490,대한항공
161390,한국타이어앤테크놀로지
005940,NH투자증권
090430,아모레퍼시픽
039490,키움증권
000720,현대건설
016360,삼성증권
180640,한진칼
005387,현대차2우B
377300,카카오페이
032640,LG유플러스
029780,삼성카드
021240,코웨이
034220,LG디스플레이
000880,한화
128940,한미약품
011070,LG이노텍
088980,맥쿼리인프라
064400,LG씨엔에스
006260,LS
241560,두산밥캣
307950,현대오토에버
078930,GS
001040,CJ
066970,엘앤에프
028050,삼성E&A
454910,두산로보틱스
138930,BNK금융지주
009830,한화솔루션
251270,넷마블
175330,JB금융지주
005385,현대차우
036570,엔씨소프트
051900,LG생활건강
450080,에코프로머티
271560,오리온
302440,SK바이오사이언스
011790,SKC
062040,산일전기
001440,대한전선
004020,현대제철
022100,포스코DX
111770,영원무역
035250,강원랜드
036460,한국가스공사
002380,KCC
031210,서울보증보험
082740,한화엔진
017800,현대엘리베이터
052690,한전기술
097950,CJ제일제당
011170,롯데케미칼
011780,금호석유화학
009420,한올바이오파마
012750,에스원
004990,롯데지주
014680,한솔케미칼
000990,DB하이텍
012510,더존비즈온
042670,HD현대인프라코어
383220,F&F
103140,풍산
026960,동서
001450,현대해상
000240,한국앤컴퍼니
004370,농심
008930,한미사이언스
439260,대한조선
030000,제일기획
088350,한화생명
081660,미스토홀딩스
071970,HD현대마린엔진
103590,일진전기
018880,한온시스템
204320,HL만도
353200,대덕전자
051600,한전KPS
361610,SK아이이테크놀로지
139130,iM금융지주
001720,신영증권
462870,시프트업
003690,코리안리
004170,신세계
002790,아모레퍼시픽홀딩스
009970,영원무역홀딩스
489790,한화비전
139480,이마트
020150,롯데에너지머티리얼즈
069960,현대백화점
018670,SK가스
000120,CJ대한통운
004800,효성
069620,대웅제약
028670,팬오션
023530,롯데쇼핑
000155,두산우
336260,두산퓨얼셀
006040,동원산업
097230,HJ중공업
010060,OCI홀딩스
282330,BGF리테일
005850,에스엘
192820,코스맥스
007070,GS리테일
008770,호텔신라
112610,씨에스윈드
020560,아시아나항공
034230,파라다이스
085620,미래에셋생명
005070,코스모신소재
073240,금호타이어
011210,현대위아
483650,달바글로벌
267270,HD현대건설기계
006360,GS건설
006280,녹십자
457190,이수스페셜티케미컬
023590,다우기술
032350,롯데관광개발
395400,SK리츠
007310,오뚜기
161890,한국콜마
375500,DL이앤씨
051915,LG화학우
047040,대우건설
007340,DN오토모티브
00680K,미래에셋증권2우B
003090,대웅
017960,한국카본
003540,대신증권
003570,SNT다이내믹스
000080,하이트진로
000670,영풍
077970,STX엔진
294870,HDC현대산업개발
300720,한일시멘트
005440,현대지에프홀딩스
001800,오리온홀딩스
285130,SK케미칼
071320,지역난방공사
001120,LX인터내셔널
185750,종근당
000500,가온전선
415640,KB발해인프라
000815,삼성화재우
330590,롯데리츠
192080,더블유게임즈
004000,롯데정밀화학
089860,롯데렌탈
137310,에스디바이오센서
181710,NHN
100090,SK오션플랜트
120110,코오롱인더
005300,롯데칠성
280360,롯데웰푸드
082640,동양생명
009240,한샘
006120,SK디스커버리
484870,엠앤씨솔루션
365550,ESR켄달스퀘어리츠
317450,명인제약
229640,LS에코에너지
192400,쿠쿠홀딩스
030610,교보증권
001740,SK네트웍스
012630,HDC
003530,한화투자증권
030190,NICE평가정보
079160,CJ CGV
075580,세진중공업
001430,세아베스틸지주
005690,파미셀
499790,GS피앤엘
298020,효성티앤씨
004490,세방전지
114090,GKL
006650,대한유화
036530,SNT홀딩스
195870,해성디에스
003240,태광산업
093370,후성
298050,HS효성첨단소재
249420,일동제약
007810,코리아써키트
009450,경동나비엔
108320,LX세미콘
281820,케이씨텍
002030,아세아
000210,DL
066575,LG전자우
064960,SNT모티브
100840,SNT에너지
950210,프레스티지바이오파마
248070,솔루엠
381970,케이카
014820,동원시스템즈
007700,F&F홀딩스
019170,신풍제약
003850,보령
069260,TKG휴켐스
005250,녹십자홀딩스
000640,동아쏘시오홀딩스
003470,유안타증권
008730,율촌화학
001680,대상
451800,한화리츠
214320,이노션
039130,하나투어
002350,넥센타이어
071055,한국금융지주우
293940,신한알파리츠
00088K,한화3우B
079900,전진건설로봇
002840,미원상사
005180,빙그레
002020,코오롱
268280,미원에스씨
003620,KG모빌리티
057050,현대홈쇼핑
475150,SK이터닉스
00104K,CJ4우(전환)
005420,코스모화학
450140,코오롱모빌리티그룹
001570,금양
025540,한국단자
006380,카프로
001270,부국증권
383800,LX홀딩스
000370,한화손해보험
001060,JW중외제약
002960,한국쉘석유
003160,디아이
336370,솔루스첨단소재
322000,HD현대에너지솔루션
090460,비에이치
